video_id,segment_total,vid_done,vid_pct,aud_done,aud_pct,both_done,both_pct
2SpNlrZPeYM,166,0,0.0,0,0.0,0,0.0
2TSLH-aONdo,213,213,100.0,0,0.0,0,0.0
2TzIdpo6rTc,207,0,0.0,0,0.0,0,0.0
2URdIcUgW-c,275,275,100.0,0,0.0,0,0.0
2V4w-96Cnuo,220,0,0.0,0,0.0,0,0.0
2VajX4nxCqM,27,0,0.0,0,0.0,0,0.0
2VnGDfp2KJg,151,0,0.0,0,0.0,0,0.0
2VyiLUgV6qo,180,0,0.0,0,0.0,0,0.0
2W8nb35FE_w,239,239,100.0,0,0.0,0,0.0
2WQbm6-QakE,179,0,0.0,0,0.0,0,0.0
2WUoDOacRbg,121,121,100.0,0,0.0,0,0.0
2XC2IZCsukw,112,0,0.0,0,0.0,0,0.0
2XoqttCWIMY,268,0,0.0,0,0.0,0,0.0
2Y02D80R0GU,22,22,100.0,0,0.0,0,0.0
2Y4_AzkQvK0,232,0,0.0,0,0.0,0,0.0
